"user_id","screen_name","text","is_retweet","favorite_count","retweet_count","hashtags","reply_to_screen_name","mentions_screen_name","retweet_screen_name"
"759251","CNN","Michelle Obama makes a surprise appearance at the Grammys. “Music helps us share ourselves ... It allows us to hear one another,"" the former first lady said. https://t.co/hgQtESXpmh https://t.co/0ayW79xAL5",FALSE,3609,626,NA,NA,NA,NA
"759251","CNN","“Shallow” by Lady Gaga &amp; Bradley Cooper wins best pop duo/group performance #Grammys https://t.co/vg0tTPE1Ud https://t.co/429iEhm9YQ",FALSE,4734,795,"Grammys",NA,NA,NA
"759251","CNN","""I'm afraid someone is going to murder me.""

Days before her body was found inside a suitcase, Valerie Reyes called her mother terrified someone would kill her. https://t.co/76QAjWuu0j https://t.co/3w1BtAbfqf",FALSE,345,142,NA,NA,NA,NA
"759251","CNN","Red carpet photos from the 2019 Grammys https://t.co/IGeoI4hM0D https://t.co/85yuCAs7Ii",FALSE,255,58,NA,NA,NA,NA
"759251","CNN","Kendrick Lamar, Drake and Childish Gambino reportedly turned down the Grammys https://t.co/JZhmq4AaYK https://t.co/NBJHLrfDu7",FALSE,641,182,NA,NA,NA,NA
"759251","CNN","Virginia delegate Patrick Hope plans to introduce articles of impeachment against Lt. Gov. Justin Fairfax https://t.co/FaxF717FMz https://t.co/bJiLvS5W7T",FALSE,153,41,NA,NA,NA,NA
"759251","CNN","Trump left this out of the State of the Union: America's debt crisis | By J. Luis Correa, Stephanie Murphy, Tom O'Halleran and Anthony Brindisi for @CNNOpinion https://t.co/JdsKaCb3sP https://t.co/mWdoSXOX11",FALSE,156,89,NA,NA,"CNNOpinion",NA
"759251","CNN","A Grammy is the music industry's biggest prize and being nominated is no small feat. Explore the music of 21 first-time nominees below. https://t.co/Ld4mGsBPGl https://t.co/h9sjQFBSGz",FALSE,162,48,NA,NA,NA,NA
"759251","CNN","North Carolina Republican Rep. Walter Jones has died at age 76, according to a statement on the congressman's website https://t.co/dIZSx8v5NV https://t.co/hN6f49CKhx",FALSE,138,70,NA,NA,NA,NA
"759251","CNN","A nationwide manhunt is underway for a disbarred Georgia attorney accused of killing his mother https://t.co/ZfQf8TMvd1 https://t.co/gSKHz42h3K",FALSE,169,214,NA,NA,NA,NA
"759251","CNN","15-time Grammy winner Alicia Keys is hosting tonight's Grammy Awards show. Among this year's nominees are rap artists Kendrick Lamar and Drake, who lead in nominations with eight and seven, respectively. 

Follow live: https://t.co/e7nK7C6Vbu https://t.co/1Ohn7K3vxi",FALSE,632,125,NA,NA,NA,NA
